StockCode,Description,unidades_vendidas,revenue_producto,ordenes_aparicion
22423,REGENCY CAKESTAND 3 TIER,24899,286486.3,3317
85123A,WHITE HANGING HEART T-LIGHT HOLDER,93640,252072.46,4888
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1
M,Manual,9803,152340.57,620
85099B,JUMBO BAG RED RETROSPOT,75759,136980.08,2612
84879,ASSORTED COLOUR BIRD ORNAMENT,79913,127074.17,2652
POST,POSTAGE,5333,126563.04,1803
47566,PARTY BUNTING,23607,103880.23000000001,2077
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,29477,79594.33,1691
79321,CHILLI LIGHTS,15735,72860.14,922
21137,BLACK RECORD COVER FRAME,19629,67209.44,539
85099F,JUMBO BAG STRAWBERRY,36098,64601.65,1514
82484,WOOD BLACK BOARD ANT WHITE FINISH,10893,60513.09,1048
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,29498,57779.17,525
21621,VINTAGE UNION JACK BUNTING,6542,54815.12,1121
15056N,EDWARDIAN PARASOL NATURAL,11027,54741.46,863
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29447,53168.340000000004,1449
22189,CREAM HEART CARD HOLDER,18113,52627.29,1129
22470,HEART OF WICKER LARGE,17866,52157.68,1743
